ID,place_name,rating,place_address
1,Leslieville Farmers Market,9.1,150 Greenwood Ave
1,Rorschach Brewing,8.7,1001 Eastern Ave
1,Chick-N-Joy,7.5,1483 Queen St E
1,Velotique,7.8,1592 Queen St E
1,O Sushi,7.5,6 Coxwell Ave
1,Woodbine Park,8.5,Queen St
1,The Sidekick,8.8,1374 Queen St E
1,The Burger's Priest,7.4,1636 Queen St E
1,Casa Di Giorgios,7.4,1646 Queen St E
1,British Style Fish & Chips,7.6,73 Coxwell Ave
2,Balzac's Coffee Roasters,8.5,31 Powerhouse St
2,Earlscourt Park Off-Leash Area,6.2,1200 Lansdowne Ave
2,Rehearsal Factory,6.7,330 Geary Ave
2,The Greater Good Bar,9.0,229 Geary Ave
2,Tre Mari Bakery,9.0,1311 Saint Clair Ave W
2,Earlscourt Park,7.5,1200 Lansdowne Ave
2,Parallel,8.6,217 Geary Ave
2,The Sovereign,7.3,1359 Davenport Rd
2,North Of Brooklyn Pizzeria,7.6,229 Geary Ave
2,Rio 40 Restaurant,8.4,1256 Saint Clair Ave W
3,Velotique,7.8,1592 Queen St E
3,O Sushi,7.5,6 Coxwell Ave
3,Leslieville Farmers Market,9.1,150 Greenwood Ave
3,Woodbine Park,8.5,Queen St
3,The Burger's Priest,7.4,1636 Queen St E
3,Casa Di Giorgios,7.4,1646 Queen St E
3,Lcbo,7.2,1654 Queen St E
3,Rorschach Brewing,8.7,1001 Eastern Ave
3,British Style Fish & Chips,7.6,73 Coxwell Ave
3,Chick-N-Joy,7.5,1483 Queen St E
4,Elgin & Winter Garden Theatre Ctr,9.0,189 Yonge St
4,Booster Juice,8.3,2 Queen St E
4,George Restaurant,8.8,111C Queen St E
4,The Carbon Bar,8.1,99 Queen St E
4,St Michael's Cathedral,8.6,200 Church St
4,Massey Hall,8.7,178 Victoria St
4,Gyu-Kaku BBQ,8.9,81 Church St
4,HomeSense,8.3,195 Yonge St
4,Richmond Station,9.0,1 Richmond St W
4,Terroni,8.7,57A Adelaide St E
5,Black Eagle,8.1,457 Church St
5,Woody's,8.2,467 Church St
5,Hair of the Dog,8.3,425 Church St
5,Churchmouse & Firkin,8.1,475 Church St
5,Loblaws,8.7,60 Carlton St
5,Glad Day Bookshop,8.2,499 Church St
5,Betty Oliphant Theatre,8.2,400 Jarvis St
5,The Blake House,7.9,449 Jarvis St
5,Golden Greek,8.4,105 Carlton St
5,Buddies in Bad Times Theatre,7.8,12 Alexander St
6,Jimmy's Coffee,8.7,84 Gerrard St W
6,Ilsc,9.0,443 University Ave
6,Tim Hortons,8.3,70 Gerrard St W
6,Rolltation,8.1,207 Dundas St W
6,The Library Specialty Coffee,8.9,281 Dundas St W
6,Neo Coffee Bar,8.2,770 Bay St
6,Hailed Coffee,9.2,44 Gerrard St W
6,The Queen and Beaver Public House,8.5,35 Elm St
6,Gyubee Japanese Grill,8.1,157 Dundas St W
6,Red Lobster,8.2,20 Dundas St E
7,Red Lobster,8.2,20 Dundas St E
7,Muji,8.2,595 Bay St
7,The Queen and Beaver Public House,8.5,35 Elm St
7,Chipotle Mexican Grill,8.3,323 Yonge St
7,Five Guys Burgers & Fries,8.2,329 Yonge St
7,Uniqlo,9.0,220 Yonge St
7,Yonge-Dundas Square,8.4,40 Dundas St W
7,Blaze Pizza,8.7,10 Dundas St E
7,Hailed Coffee,9.2,44 Gerrard St W
7,Gyubee Japanese Grill,8.1,157 Dundas St W
8,Korean Village Restaurant,8.0,628 Bloor St W
8,Hodo Kwaja,8.8,656 Bloor St W
8,Just You,8.0,624 Bloor St W
8,Sunrise House,8.3,661 Bloor St W
8,Snakes & Lattes,8.6,600 Bloor St W
8,Rustle & Still Café,8.6,605 Bloor St W
8,Bloor Fruit Market,7.7,662 Bloor St W
8,PAT Central Market,8.1,675 Bloor St W
8,Basecamp Climbing,7.7,677 Bloor St W
8,Buk Chang Dong Soon Tofu,8.4,691 Bloor St W
9,Ramsden Park,8.4,1 Ramsden Rd
9,Black Camel,9.0,4 Crescent Rd
9,Greenhouse Juice Co,9.0,5 MacPherson Ave
9,Toronto Public Library - Toronto Reference Library,9.0,789 Yonge St
9,Page & Panel: the TCAF Shop,9.0,789 Yonge St
9,Quanto Basta,7.8,1112 Yonge St
9,Café Boulud,8.2,60 Yorkville Ave Four Seasons
9,Balzac's Coffee,7.9,789 Yonge St
9,Terroni,8.4,1095 Yonge St
9,Trattoria Nervosa,8.9,75 Yorkville Ave
10,Joso's,8.8,202 Davenport Rd
10,MIMI Chinese,8.0,265 Davenport Rd
10,Sotto Sotto Restaurant,8.1,116A Rd Ave
10,Hare Krishna Temple,8.0,243 Ave Rd
10,Whole Foods,8.5,87 Ave Rd
10,Whole Hearth Bakery & Cafe,7.8,87 Ave Rd
10,Playa Cabana,8.6,111 Dupont St
10,Summer's Sweet Memories Inc,8.7,101 Yorkville Ave
10,Ramsden Park,8.4,1 Ramsden Rd
10,Alobar Yorkville,8.3,162 Cumberland St
11,Page & Panel: the TCAF Shop,9.0,789 Yonge St
11,Toronto Public Library - Toronto Reference Library,9.0,789 Yonge St
11,Balzac's Coffee,7.9,789 Yonge St
11,Café Boulud,8.2,60 Yorkville Ave Four Seasons
11,Paramount Fine Foods,8.6,1250 Bay St
11,Eataly Toronto,8.3,55 Bloor St W
11,Trattoria Nervosa,8.9,75 Yorkville Ave
11,Yamato Japanese Restaurant,8.7,18 Bellefair Ave
11,Flo's Diner,7.5,70 Yorkville Ave
11,Indigo,8.5,55 Bloor St W
12,Lady Marmalade,7.7,265 Broadview Ave
12,St John's Bakery,8.2,153 Broadview Ave
12,Royal Canadian Curling Club,8.1,131 Broadview Ave
12,Merchants of Green Coffee,9.0,2 Matilda St
12,Hanoi 3 Seasons,8.5,588 Gerrard St E
12,Pho House,8.4,610 Gerrard St E
12,Rooftop at Broadview Hotel,8.2,106 Broadview Ave
12,White Lily Diner,9.1,678 Queen St E
12,Farside,8.1,600 Gerrard St E
12,Andrea's Gerrard St. Bakery,8.3,635 Gerrard St E
13,Chotto Matte,8.8,161 Bay St
13,Hockey Hall of Fame,8.9,30 Yonge St
13,Biff's Bistro,8.3,4 Front St E
13,Ki Modern Japanese + Bar,8.2,181 Bay St
13,Meridian Hall,8.0,1 Front St E
13,Walrus Pub & Beer Hall,8.4,187 Bay St
13,Pilot Coffee Roasters,8.6,65 Front St W
13,The Keg Steakhouse + Bar,8.6,26 the Esplanade
13,Wvrst Union Station,9.0,65 Front St W
13,Dog Fountain,8.6,
14,Riverdale Park West,9.1,500 Gerrard St
14,Le Beau,8.7,665 Dundas St E
14,Riverdale Farm,8.8,201 Winchester St
14,Regent Park Aquatic Centre,8.4,640 Dundas St E
14,Hanoi 3 Seasons,8.5,588 Gerrard St E
14,Merchants of Green Coffee,9.0,2 Matilda St
14,Park Snacks,7.6,161 Winchester St
14,Pho House,8.4,610 Gerrard St E
14,Farside,8.1,600 Gerrard St E
14,Lady Marmalade,7.7,265 Broadview Ave
15,Page One Cafe,8.9,106 Mutual St
15,Hokkaido Ramen Santouka,8.2,91 Dundas St E
15,St Michael's Cathedral,8.6,200 Church St
15,Blaze Pizza,8.7,10 Dundas St E
15,George Restaurant,8.8,111C Queen St E
15,Massey Hall,8.7,178 Victoria St
15,The Carbon Bar,8.1,99 Queen St E
15,Uniqlo,9.0,220 Yonge St
15,Yonge-Dundas Square,8.4,40 Dundas St W
15,Kinka Izakaya,8.7,398 Church St
16,Hailed Coffee,9.0,801 Gerrard St E
16,The Real Jerk Restaurant,8.4,842 Gerrard St E
16,Riverdale Perk,8.8,633 Logan Ave
16,Pinkerton's Snack Bar,8.9,1026 Gerrard St E
16,Rooster Coffee House,8.7,479 Broad View Ave
