station_address,latitude,longitude,free_bikes,ID,place_name,rating,place_address,result_ID
Queen St E / Woodward Ave,43.665269,-79.319796,14,1,O Sushi,4.0,6 Coxwell Avenue,1
Queen St E / Woodward Ave,43.665269,-79.319796,14,1,Lake Inez,4.5,1471 Gerrard Street E,2
Queen St E / Woodward Ave,43.665269,-79.319796,14,1,The Burger's Priest,3.5,1636 Queen Street E,3
Queen St E / Woodward Ave,43.665269,-79.319796,14,1,Jaclyn's,4.5,1588 Queen Street E,4
Queen St E / Woodward Ave,43.665269,-79.319796,14,1,Burrito Bandidos,3.5,1614 Queen Street E,5
Queen St E / Woodward Ave,43.665269,-79.319796,14,1,Casa Di Giorgios,4.0,1646 Queen St E,6
Queen St E / Woodward Ave,43.665269,-79.319796,14,1,Maha's,4.0,226 Greenwood Avenue,7
Queen St E / Woodward Ave,43.665269,-79.319796,14,1,McDonald's,2.5,29-31 Woodward Avenue,8
Queen St E / Woodward Ave,43.665269,-79.319796,14,1,Lahore Tikka House,3.5,1365 Gerrard Street E,9
Queen St E / Woodward Ave,43.665269,-79.319796,14,1,Leslie Jones,4.0,1182 Queen Street E,10
Queen St E / Woodward Ave,43.665269,-79.319796,14,1,Tea N Bannock,4.5,1294 Gerrard Street E,11
Queen St E / Woodward Ave,43.665269,-79.319796,14,1,The Sidekick,4.5,1374 Queen Street E,12
Queen St E / Woodward Ave,43.665269,-79.319796,14,1,Eulalie's Corner Store,4.5,1438 Gerrard Street E,13
Queen St E / Woodward Ave,43.665269,-79.319796,14,1,Yaya Greek Bistro,4.0,1186 Queen Street E,14
Queen St E / Woodward Ave,43.665269,-79.319796,14,1,Lazy Daisy's Cafe,4.0,1515 Gerrard Street E,15
Queen St E / Woodward Ave,43.665269,-79.319796,14,1,Gio Rana's Really Really Nice Restaurant,4.0,1220 Queen Street East,16
Queen St E / Woodward Ave,43.665269,-79.319796,14,1,Nodo Leslieville,4.0,1192 Queen Street East,17
Queen St E / Woodward Ave,43.665269,-79.319796,14,1,Chick-N-Joy,4.0,1483 Queen Street E,18
Queen St E / Woodward Ave,43.665269,-79.319796,14,1,Udupi Palace,3.5,1460 Gerrard Street E,19
Queen St E / Woodward Ave,43.665269,-79.319796,14,1,Regency Restaurant,4.0,1423 Gerrard Street E,20
Primrose Ave / Davenport Rd,43.67142,-79.445947,2,2,Agio,4.5,1351 St Clair Avenue W,21
Primrose Ave / Davenport Rd,43.67142,-79.445947,2,2,Rush Hour,4.5,1438A Dufferin Street,22
Primrose Ave / Davenport Rd,43.67142,-79.445947,2,2,Love Chix,4.0,33 Powerhouse Street,23
Primrose Ave / Davenport Rd,43.67142,-79.445947,2,2,CANO Restaurant,4.5,1108 St Clair Avenue W,24
Primrose Ave / Davenport Rd,43.67142,-79.445947,2,2,Barista & Chef,4.5,1006 Saint Clair Avenue W,25
Primrose Ave / Davenport Rd,43.67142,-79.445947,2,2,Famiglia Baldassarre,4.5,122 Geary Avenue,26
