ID,place_name,rating,place_address
1,O Sushi,4.0,6 Coxwell Avenue
1,Lake Inez,4.5,1471 Gerrard Street E
1,The Burger's Priest,3.5,1636 Queen Street E
1,Jaclyn's,4.5,1588 Queen Street E
1,Burrito Bandidos,3.5,1614 Queen Street E
1,Casa Di Giorgios,4.0,1646 Queen St E
1,Maha's,4.0,226 Greenwood Avenue
1,McDonald's,2.5,29-31 Woodward Avenue
1,Lahore Tikka House,3.5,1365 Gerrard Street E
1,Leslie Jones,4.0,1182 Queen Street E
1,Tea N Bannock,4.5,1294 Gerrard Street E
1,The Sidekick,4.5,1374 Queen Street E
1,Eulalie's Corner Store,4.5,1438 Gerrard Street E
1,Yaya Greek Bistro,4.0,1186 Queen Street E
1,Lazy Daisy's Cafe,4.0,1515 Gerrard Street E
1,Gio Rana's Really Really Nice Restaurant,4.0,1220 Queen Street East
1,Nodo Leslieville,4.0,1192 Queen Street East
1,Chick-N-Joy,4.0,1483 Queen Street E
1,Udupi Palace,3.5,1460 Gerrard Street E
1,Regency Restaurant,4.0,1423 Gerrard Street E
2,Agio,4.5,1351 St Clair Avenue W
2,Rush Hour,4.5,1438A Dufferin Street
2,Love Chix,4.0,33 Powerhouse Street
2,CANO Restaurant,4.5,1108 St Clair Avenue W
2,Barista & Chef,4.5,1006 Saint Clair Avenue W
2,Famiglia Baldassarre,4.5,122 Geary Avenue
2,Tre Mari Bakery,4.5,1311 Saint Clair Avenue W
2,Pizza e Pazzi,4.0,1182 St Clair Avenue W
2,Rio 40 Restaurant,4.0,1256 Saint Clair Avenue West
2,Marcello’s pizzeria,4.0,1163 Saint Clair Avenue W
2,Good Behaviour,4.5,342 Westmoreland Avenue N
2,Tuckshop Kitchen,4.5,1640 Dupont Street
2,Parallel,4.0,217 Geary Avenue
2,The Sovereign,4.5,1359 Davenport Road
2,Atomic 10,4.5,145 Lauder Ave
2,Khmer Thai Restaurant,4.0,1018 St Clair Avenue W
2,DeSotos Eatery,4.0,1079 St Clair Avenue West
2,King's Tacos,4.0,1190 St Clair Avenue W
2,The Greater Good Bar,4.0,229 Geary Avenue
2,Frank’s Pizza House,3.5,1352 St Clair Avenue W
3,Casa Di Giorgios,4.0,1646 Queen St E
3,O Sushi,4.0,6 Coxwell Avenue
3,The Burger's Priest,3.5,1636 Queen Street E
3,Burrito Bandidos,3.5,1614 Queen Street E
3,Jaclyn's,4.5,1588 Queen Street E
3,Lake Inez,4.5,1471 Gerrard Street E
3,Maha's,4.0,226 Greenwood Avenue
3,Lahore Tikka House,3.5,1365 Gerrard Street E
3,Tea N Bannock,4.5,1294 Gerrard Street E
3,Eulalie's Corner Store,4.5,1438 Gerrard Street E
3,Lazy Daisy's Cafe,4.0,1515 Gerrard Street E
3,Sauvignon Bistro,4.0,1862 Queen Street E
3,Udupi Palace,3.5,1460 Gerrard Street E
